"Type"	"Family"	"Timepoint"	"Covariate1"	"Covariate2"	"Binary_phenotype_dynamic"	"Factor_phenotype_dynamic"	"Quant_phenotype_dynamic"	"Binary_phenotype_static"	"Factor_phenotype_static"	"Quant_phenotype_static"
"Sample0020"	"Infant"	"FAM006"	"M12"	"Covar1.1"	0.272405778639437	"BinaryDynamic1"	"LevelDynamic1"	-1.45133462164684	"BinaryStatic1"	"LevelStatic3"	-0.719126812722784
"Sample0021"	"Infant"	"FAM006"	"M6"	"Covar1.1"	0.965489926053761	"BinaryDynamic2"	"LevelDynamic2"	-0.155412161884712	"BinaryStatic1"	"LevelStatic3"	-0.719126812722784
"Sample0022"	"Infant"	"FAM007"	"M3"	"Covar1.1"	0.688023221700235	"BinaryDynamic1"	"LevelDynamic1"	-0.373754079463604	"BinaryStatic2"	"LevelStatic1"	0.670973716847191
"Sample0023"	"Infant"	"FAM007"	"W2"	"Covar1.1"	-2.06527190761258	"BinaryDynamic1"	"LevelDynamic1"	-1.53653943636734	"BinaryStatic2"	"LevelStatic1"	0.670973716847191
"Sample0024"	"Infant"	"FAM007"	"M12"	"Covar1.3"	-2.15749440589516	"BinaryDynamic1"	"LevelDynamic3"	-0.411296809807667	"BinaryStatic2"	"LevelStatic1"	0.670973716847191
"Sample0025"	"Infant"	"FAM007"	"M6"	"Covar1.2"	1.70372824910126	"BinaryDynamic1"	"LevelDynamic3"	1.59167788040576	"BinaryStatic2"	"LevelStatic1"	0.670973716847191
"Sample0026"	"Infant"	"FAM008"	"W2"	"Covar1.3"	-1.11997884489105	"BinaryDynamic2"	"LevelDynamic2"	-1.08354131646855	"BinaryStatic1"	"LevelStatic1"	0.538652708119692
"Sample0027"	"Infant"	"FAM008"	"M1"	"Covar1.3"	-0.991884696642173	"BinaryDynamic2"	"LevelDynamic1"	-1.00367479306383	"BinaryStatic1"	"LevelStatic1"	0.538652708119692
"Sample0028"	"Infant"	"FAM009"	"M3"	"Covar1.1"	-1.11797384393811	"BinaryDynamic1"	"LevelDynamic1"	-2.15892706823828	"BinaryStatic2"	"LevelStatic3"	0.954396512802109
"Sample0029"	"Infant"	"FAM009"	"W2"	"Covar1.3"	-0.599470204315027	"BinaryDynamic2"	"LevelDynamic1"	1.33407805737756	"BinaryStatic2"	"LevelStatic3"	0.954396512802109
"Sample0030"	"Infant"	"FAM010"	"W2"	"Covar1.2"	-0.651384448698696	"BinaryDynamic1"	"LevelDynamic2"	0.0850446651147746	"BinaryStatic1"	"LevelStatic1"	-0.410296701456209
"Sample0031"	"Infant"	"FAM010"	"M12"	"Covar1.3"	-0.674609487226732	"BinaryDynamic1"	"LevelDynamic2"	0.145012157010675	"BinaryStatic1"	"LevelStatic1"	-0.410296701456209
"Sample0032"	"Infant"	"FAM010"	"M1"	"Covar1.3"	-0.97542036080839	"BinaryDynamic2"	"LevelDynamic1"	-0.96798162264132	"BinaryStatic1"	"LevelStatic1"	-0.410296701456209
"Sample0033"	"Infant"	"FAM010"	"M3"	"Covar1.1"	1.44603747253663	"BinaryDynamic2"	"LevelDynamic3"	1.84142002997884	"BinaryStatic1"	"LevelStatic1"	-0.410296701456209
"Sample0034"	"Infant"	"FAM011"	"M3"	"Covar1.2"	0.95568760446747	"BinaryDynamic2"	"LevelDynamic1"	-1.32830287008428	"BinaryStatic2"	"LevelStatic2"	0.569603871949184
"Sample0035"	"Infant"	"FAM011"	"W2"	"Covar1.3"	0.662421186628151	"BinaryDynamic2"	"LevelDynamic2"	1.05737120540552	"BinaryStatic2"	"LevelStatic2"	0.569603871949184
"Sample0036"	"Infant"	"FAM011"	"M1"	"Covar1.1"	-0.568661524899932	"BinaryDynamic1"	"LevelDynamic1"	-1.12114567133356	"BinaryStatic2"	"LevelStatic2"	0.569603871949184
"Sample0037"	"Infant"	"FAM011"	"M12"	"Covar1.2"	-0.474505721944569	"BinaryDynamic1"	"LevelDynamic1"	0.181054915693846	"BinaryStatic2"	"LevelStatic2"	0.569603871949184
"Sample0038"	"Infant"	"FAM012"	"M6"	"Covar1.2"	-0.465374953291176	"BinaryDynamic2"	"LevelDynamic2"	-1.12400265880727	"BinaryStatic2"	"LevelStatic1"	-0.749823358576717
"Sample0039"	"Infant"	"FAM012"	"M3"	"Covar1.2"	-0.0353493985120566	"BinaryDynamic2"	"LevelDynamic3"	-0.362159008109834	"BinaryStatic2"	"LevelStatic1"	-0.749823358576717
"Sample0040"	"Infant"	"FAM012"	"M1"	"Covar1.2"	-0.4930671035998	"BinaryDynamic1"	"LevelDynamic2"	0.026671336057705	"BinaryStatic2"	"LevelStatic1"	-0.749823358576717
"Sample0041"	"Infant"	"FAM012"	"W2"	"Covar1.3"	1.39669116085549	"BinaryDynamic2"	"LevelDynamic3"	-1.78394032279214	"BinaryStatic2"	"LevelStatic1"	-0.749823358576717
"Sample0042"	"Infant"	"FAM013"	"M12"	"Covar1.1"	-1.02544555098029	"BinaryDynamic1"	"LevelDynamic3"	0.872478776589737	"BinaryStatic2"	"LevelStatic1"	-0.607244448945674
"Sample0043"	"Infant"	"FAM013"	"M1"	"Covar1.3"	0.189072697451169	"BinaryDynamic1"	"LevelDynamic2"	-0.305470460229553	"BinaryStatic2"	"LevelStatic1"	-0.607244448945674
"Sample0044"	"Infant"	"FAM013"	"W2"	"Covar1.1"	0.718675760008062	"BinaryDynamic2"	"LevelDynamic2"	-2.52829684846345	"BinaryStatic2"	"LevelStatic1"	-0.607244448945674
"Sample0045"	"Infant"	"FAM013"	"M6"	"Covar1.3"	0.00776612985127879	"BinaryDynamic2"	"LevelDynamic1"	-0.143720110686841	"BinaryStatic2"	"LevelStatic1"	-0.607244448945674
"Sample0046"	"Infant"	"FAM013"	"M3"	"Covar1.3"	2.49145260159491	"BinaryDynamic1"	"LevelDynamic3"	1.34488840859522	"BinaryStatic2"	"LevelStatic1"	-0.607244448945674
"Sample0047"	"Infant"	"FAM014"	"M12"	"Covar1.1"	-0.170281035397102	"BinaryDynamic1"	"LevelDynamic1"	0.894988715518028	"BinaryStatic1"	"LevelStatic1"	0.42635734547588
"Sample0048"	"Infant"	"FAM014"	"M1"	"Covar1.1"	-1.43660314661578	"BinaryDynamic1"	"LevelDynamic2"	-1.22724522418832	"BinaryStatic1"	"LevelStatic1"	0.42635734547588
"Sample0049"	"Infant"	"FAM014"	"W2"	"Covar1.2"	-0.80610594820817	"BinaryDynamic1"	"LevelDynamic2"	-0.933965653179004	"BinaryStatic1"	"LevelStatic1"	0.42635734547588
"Sample0050"	"Infant"	"FAM014"	"M6"	"Covar1.3"	0.991973744033243	"BinaryDynamic2"	"LevelDynamic3"	2.2719303591592	"BinaryStatic1"	"LevelStatic1"	0.42635734547588
"Sample0051"	"Infant"	"FAM015"	"W2"	"Covar1.3"	1.34335343151508	"BinaryDynamic2"	"LevelDynamic2"	0.99154442413894	"BinaryStatic1"	"LevelStatic1"	-1.02270461407255
"Sample0052"	"Infant"	"FAM015"	"M1"	"Covar1.3"	-0.404408765756866	"BinaryDynamic2"	"LevelDynamic3"	-0.958611745786412	"BinaryStatic1"	"LevelStatic1"	-1.02270461407255
"Sample0053"	"Infant"	"FAM015"	"M6"	"Covar1.1"	-1.52870995235775	"BinaryDynamic2"	"LevelDynamic1"	-0.233082110080534	"BinaryStatic1"	"LevelStatic1"	-1.02270461407255
"Sample0054"	"Infant"	"FAM016"	"M6"	"Covar1.2"	1.38885683929779	"BinaryDynamic1"	"LevelDynamic2"	-0.105619412650108	"BinaryStatic2"	"LevelStatic2"	-0.243489931220641
"Sample0055"	"Infant"	"FAM016"	"M12"	"Covar1.2"	0.0537258818921439	"BinaryDynamic2"	"LevelDynamic3"	1.48555389588074	"BinaryStatic2"	"LevelStatic2"	-0.243489931220641
"Sample0056"	"Infant"	"FAM016"	"M3"	"Covar1.1"	-0.0623860215577552	"BinaryDynamic1"	"LevelDynamic3"	2.19596838182699	"BinaryStatic2"	"LevelStatic2"	-0.243489931220641
"Sample0057"	"Infant"	"FAM016"	"M1"	"Covar1.2"	-1.01435639583184	"BinaryDynamic2"	"LevelDynamic1"	-1.57390326512853	"BinaryStatic2"	"LevelStatic2"	-0.243489931220641
"Sample0058"	"Infant"	"FAM017"	"M1"	"Covar1.3"	-0.01706300174089	"BinaryDynamic2"	"LevelDynamic2"	-0.784280699942107	"BinaryStatic1"	"LevelStatic3"	0.762775243276217
"Sample0059"	"Infant"	"FAM017"	"M3"	"Covar1.2"	0.440007613327563	"BinaryDynamic2"	"LevelDynamic2"	0.0857240759904464	"BinaryStatic1"	"LevelStatic3"	0.762775243276217
"Sample0060"	"Infant"	"FAM017"	"M12"	"Covar1.3"	1.12100522501741	"BinaryDynamic2"	"LevelDynamic3"	0.465628452732526	"BinaryStatic1"	"LevelStatic3"	0.762775243276217
"Sample0061"	"Infant"	"FAM017"	"M6"	"Covar1.1"	0.227301982331748	"BinaryDynamic2"	"LevelDynamic3"	-1.48651286508496	"BinaryStatic1"	"LevelStatic3"	0.762775243276217
"Sample0062"	"Infant"	"FAM017"	"W2"	"Covar1.3"	0.302342965754279	"BinaryDynamic2"	"LevelDynamic3"	0.817595558637678	"BinaryStatic1"	"LevelStatic3"	0.762775243276217
"Sample0063"	"Infant"	"FAM018"	"M3"	"Covar1.3"	1.31627234218182	"BinaryDynamic2"	"LevelDynamic2"	-0.425897310253467	"BinaryStatic1"	"LevelStatic3"	-0.0278733518623044
"Sample0064"	"Infant"	"FAM018"	"M6"	"Covar1.3"	-0.666458787556845	"BinaryDynamic1"	"LevelDynamic1"	0.0341153833634529	"BinaryStatic1"	"LevelStatic3"	-0.0278733518623044
"Sample0065"	"Infant"	"FAM019"	"M12"	"Covar1.3"	-0.693132839508183	"BinaryDynamic2"	"LevelDynamic2"	-0.193607643496006	"BinaryStatic2"	"LevelStatic2"	-1.15782709862115
"Sample0066"	"Infant"	"FAM019"	"M1"	"Covar1.3"	-0.534746332546923	"BinaryDynamic2"	"LevelDynamic1"	0.469492374692651	"BinaryStatic2"	"LevelStatic2"	-1.15782709862115
"Sample0067"	"Infant"	"FAM019"	"M3"	"Covar1.1"	0.129812590896849	"BinaryDynamic2"	"LevelDynamic3"	1.4533790397409	"BinaryStatic2"	"LevelStatic2"	-1.15782709862115
"Sample0068"	"Infant"	"FAM019"	"M6"	"Covar1.1"	0.211879250531832	"BinaryDynamic2"	"LevelDynamic3"	-1.43214847599566	"BinaryStatic2"	"LevelStatic2"	-1.15782709862115
"Sample0069"	"Infant"	"FAM019"	"W2"	"Covar1.1"	0.119453211121037	"BinaryDynamic2"	"LevelDynamic2"	-0.814302609495289	"BinaryStatic2"	"LevelStatic2"	-1.15782709862115
"Sample0070"	"Infant"	"FAM020"	"M3"	"Covar1.3"	1.52244066514535	"BinaryDynamic1"	"LevelDynamic3"	0.200491050431061	"BinaryStatic2"	"LevelStatic3"	-0.462221249077732
"Sample0071"	"Infant"	"FAM020"	"M12"	"Covar1.2"	0.00604323543671876	"BinaryDynamic2"	"LevelDynamic1"	0.479139505985645	"BinaryStatic2"	"LevelStatic3"	-0.462221249077732
"Sample0072"	"Infant"	"FAM021"	"W2"	"Covar1.3"	0.437541736519639	"BinaryDynamic2"	"LevelDynamic3"	-1.28864915336252	"BinaryStatic1"	"LevelStatic3"	1.62721729143435
"Sample0073"	"Infant"	"FAM021"	"M12"	"Covar1.3"	0.327224748485816	"BinaryDynamic2"	"LevelDynamic1"	0.957310730519372	"BinaryStatic1"	"LevelStatic3"	1.62721729143435
"Sample0074"	"Infant"	"FAM021"	"M3"	"Covar1.2"	-0.0340910102980479	"BinaryDynamic2"	"LevelDynamic1"	-0.193158179564619	"BinaryStatic1"	"LevelStatic3"	1.62721729143435
"Sample0075"	"Infant"	"FAM022"	"M1"	"Covar1.3"	0.679630465058247	"BinaryDynamic2"	"LevelDynamic2"	-0.0642761804462326	"BinaryStatic2"	"LevelStatic3"	0.525636406277433
"Sample0076"	"Infant"	"FAM022"	"W2"	"Covar1.2"	0.010297393744015	"BinaryDynamic1"	"LevelDynamic3"	-0.0951763761846324	"BinaryStatic2"	"LevelStatic3"	0.525636406277433
"Sample0077"	"Infant"	"FAM022"	"M3"	"Covar1.2"	1.7538493541535	"BinaryDynamic1"	"LevelDynamic3"	0.339630954222821	"BinaryStatic2"	"LevelStatic3"	0.525636406277433
"Sample0078"	"Infant"	"FAM022"	"M6"	"Covar1.1"	-0.675728636887604	"BinaryDynamic2"	"LevelDynamic3"	-0.173285804265127	"BinaryStatic2"	"LevelStatic3"	0.525636406277433
"Sample0079"	"Infant"	"FAM023"	"M6"	"Covar1.3"	0.600507503813497	"BinaryDynamic2"	"LevelDynamic3"	-0.634469942789758	"BinaryStatic1"	"LevelStatic1"	0.908559223210485
"Sample0080"	"Infant"	"FAM023"	"W2"	"Covar1.3"	1.05658070176622	"BinaryDynamic2"	"LevelDynamic1"	-0.00222114838731648	"BinaryStatic1"	"LevelStatic1"	0.908559223210485
"Sample0081"	"Infant"	"FAM023"	"M1"	"Covar1.2"	-0.58933275658073	"BinaryDynamic1"	"LevelDynamic1"	0.886659871789096	"BinaryStatic1"	"LevelStatic1"	0.908559223210485
"Sample0082"	"Infant"	"FAM023"	"M3"	"Covar1.2"	-0.520254528695621	"BinaryDynamic2"	"LevelDynamic1"	-2.1776839606247	"BinaryStatic1"	"LevelStatic1"	0.908559223210485
"Sample0083"	"Infant"	"FAM024"	"M6"	"Covar1.2"	0.705062888487336	"BinaryDynamic1"	"LevelDynamic1"	-0.774107544456918	"BinaryStatic2"	"LevelStatic3"	-0.922006642619725
"Sample0084"	"Infant"	"FAM024"	"M3"	"Covar1.2"	-0.0996397365650601	"BinaryDynamic1"	"LevelDynamic3"	-1.25401001524705	"BinaryStatic2"	"LevelStatic3"	-0.922006642619725
"Sample0085"	"Infant"	"FAM024"	"W2"	"Covar1.1"	-0.768530398354576	"BinaryDynamic2"	"LevelDynamic3"	-1.03160198595629	"BinaryStatic2"	"LevelStatic3"	-0.922006642619725
"Sample0086"	"Infant"	"FAM025"	"M3"	"Covar1.1"	1.29013961993702	"BinaryDynamic1"	"LevelDynamic3"	2.03743237287585	"BinaryStatic1"	"LevelStatic3"	2.48018837602078
"Sample0087"	"Infant"	"FAM026"	"M1"	"Covar1.1"	-1.35610042200221	"BinaryDynamic2"	"LevelDynamic1"	0.396013455736103	"BinaryStatic2"	"LevelStatic3"	-2.00321168642136
"Sample0088"	"Infant"	"FAM026"	"M6"	"Covar1.2"	-0.34454847139055	"BinaryDynamic1"	"LevelDynamic1"	0.944863547913296	"BinaryStatic2"	"LevelStatic3"	-2.00321168642136
"Sample0089"	"Infant"	"FAM026"	"M12"	"Covar1.1"	0.238898147570665	"BinaryDynamic2"	"LevelDynamic1"	-2.55950882749425	"BinaryStatic2"	"LevelStatic3"	-2.00321168642136
"Sample0090"	"Infant"	"FAM027"	"M12"	"Covar1.1"	-2.06689354028086	"BinaryDynamic2"	"LevelDynamic1"	0.5902210618942	"BinaryStatic2"	"LevelStatic2"	-0.174821158228208
"Sample0091"	"Infant"	"FAM027"	"M1"	"Covar1.3"	0.732010095640409	"BinaryDynamic1"	"LevelDynamic1"	0.42212927218089	"BinaryStatic2"	"LevelStatic2"	-0.174821158228208
"Sample0092"	"Infant"	"FAM027"	"M6"	"Covar1.3"	0.655219387320841	"BinaryDynamic1"	"LevelDynamic2"	0.0341272588052222	"BinaryStatic2"	"LevelStatic2"	-0.174821158228208
"Sample0093"	"Infant"	"FAM027"	"M3"	"Covar1.1"	0.509288087332744	"BinaryDynamic1"	"LevelDynamic1"	0.577269590869971	"BinaryStatic2"	"LevelStatic2"	-0.174821158228208
"Sample0094"	"Infant"	"FAM028"	"M6"	"Covar1.3"	-0.833503101484299	"BinaryDynamic1"	"LevelDynamic3"	-1.12777216788193	"BinaryStatic1"	"LevelStatic2"	-0.775935858123884
"Sample0095"	"Infant"	"FAM028"	"M12"	"Covar1.3"	1.12146698480484	"BinaryDynamic2"	"LevelDynamic1"	0.318113246016536	"BinaryStatic1"	"LevelStatic2"	-0.775935858123884
"Sample0096"	"Infant"	"FAM029"	"M6"	"Covar1.3"	0.567231008520068	"BinaryDynamic2"	"LevelDynamic2"	0.434853386995818	"BinaryStatic2"	"LevelStatic3"	0.642001379383798
"Sample0097"	"Infant"	"FAM029"	"M12"	"Covar1.3"	0.607039140570706	"BinaryDynamic2"	"LevelDynamic2"	-1.03492401986619	"BinaryStatic2"	"LevelStatic3"	0.642001379383798
"Sample0098"	"Infant"	"FAM029"	"M3"	"Covar1.2"	1.59389077460289	"BinaryDynamic1"	"LevelDynamic3"	-1.507611495802	"BinaryStatic2"	"LevelStatic3"	0.642001379383798
"Sample0099"	"Infant"	"FAM030"	"M3"	"Covar1.3"	-0.17364751236258	"BinaryDynamic1"	"LevelDynamic1"	0.61406693140356	"BinaryStatic1"	"LevelStatic2"	-0.238999112567269
"Sample0100"	"Infant"	"FAM030"	"M6"	"Covar1.2"	1.73007189758199	"BinaryDynamic1"	"LevelDynamic2"	0.994744350966962	"BinaryStatic1"	"LevelStatic2"	-0.238999112567269
"Sample0101"	"Infant"	"FAM031"	"M6"	"Covar1.1"	-0.292271556083215	"BinaryDynamic2"	"LevelDynamic2"	-0.897781709897677	"BinaryStatic1"	"LevelStatic3"	0.0540548058522852
"Sample0102"	"Infant"	"FAM031"	"M1"	"Covar1.3"	0.920725427408681	"BinaryDynamic1"	"LevelDynamic1"	0.773645671842064	"BinaryStatic1"	"LevelStatic3"	0.0540548058522852
"Sample0103"	"Infant"	"FAM031"	"M3"	"Covar1.3"	0.46938319225191	"BinaryDynamic2"	"LevelDynamic1"	-1.20714722879912	"BinaryStatic1"	"LevelStatic3"	0.0540548058522852
"Sample0104"	"Infant"	"FAM031"	"W2"	"Covar1.1"	-0.088754109566294	"BinaryDynamic2"	"LevelDynamic2"	-0.449163765068348	"BinaryStatic1"	"LevelStatic3"	0.0540548058522852
"Sample0105"	"Infant"	"FAM031"	"M12"	"Covar1.2"	-0.455744831493478	"BinaryDynamic2"	"LevelDynamic1"	0.138781492727373	"BinaryStatic1"	"LevelStatic3"	0.0540548058522852
"Sample0106"	"Infant"	"FAM032"	"W2"	"Covar1.3"	-0.245096862651364	"BinaryDynamic2"	"LevelDynamic2"	-0.951024164639972	"BinaryStatic1"	"LevelStatic2"	0.255347428211347
"Sample0107"	"Infant"	"FAM033"	"M12"	"Covar1.2"	-0.995459132747563	"BinaryDynamic2"	"LevelDynamic1"	0.594483270262595	"BinaryStatic1"	"LevelStatic1"	-1.90795708966201
"Sample0108"	"Infant"	"FAM033"	"M6"	"Covar1.1"	0.260062529174826	"BinaryDynamic2"	"LevelDynamic1"	0.868932784729409	"BinaryStatic1"	"LevelStatic1"	-1.90795708966201
"Sample0109"	"Infant"	"FAM033"	"W2"	"Covar1.1"	0.434304351210467	"BinaryDynamic1"	"LevelDynamic2"	0.521906146235246	"BinaryStatic1"	"LevelStatic1"	-1.90795708966201
"Sample0110"	"Infant"	"FAM034"	"W2"	"Covar1.1"	2.03047182600397	"BinaryDynamic2"	"LevelDynamic1"	-1.24450826952048	"BinaryStatic1"	"LevelStatic1"	-0.961034081738956
"Sample0111"	"Infant"	"FAM035"	"M6"	"Covar1.3"	-0.759502011183149	"BinaryDynamic2"	"LevelDynamic1"	-0.137285673383327	"BinaryStatic1"	"LevelStatic2"	0.244348002407579
"Sample0112"	"Infant"	"FAM035"	"M3"	"Covar1.2"	-0.0548875701863899	"BinaryDynamic2"	"LevelDynamic1"	0.905234199222598	"BinaryStatic1"	"LevelStatic2"	0.244348002407579
"Sample0113"	"Infant"	"FAM035"	"W2"	"Covar1.1"	-0.941279655581087	"BinaryDynamic2"	"LevelDynamic2"	-0.228153608191893	"BinaryStatic1"	"LevelStatic2"	0.244348002407579
"Sample0114"	"Infant"	"FAM035"	"M12"	"Covar1.1"	-0.7157399131967	"BinaryDynamic1"	"LevelDynamic2"	1.91515889528215	"BinaryStatic1"	"LevelStatic2"	0.244348002407579
"Sample0115"	"Infant"	"FAM035"	"M1"	"Covar1.3"	-0.770877088794937	"BinaryDynamic1"	"LevelDynamic1"	-1.0190191277349	"BinaryStatic1"	"LevelStatic2"	0.244348002407579
"Sample0116"	"Infant"	"FAM036"	"M3"	"Covar1.2"	-0.290870646967627	"BinaryDynamic1"	"LevelDynamic1"	-0.276994138028066	"BinaryStatic1"	"LevelStatic2"	0.0654463890483059
"Sample0117"	"Infant"	"FAM037"	"M12"	"Covar1.3"	2.17405773721934	"BinaryDynamic1"	"LevelDynamic3"	-1.5587523316863	"BinaryStatic2"	"LevelStatic1"	0.241653917017271
"Sample0118"	"Infant"	"FAM038"	"M6"	"Covar1.1"	1.01812619959898	"BinaryDynamic2"	"LevelDynamic2"	-0.0253067289039516	"BinaryStatic1"	"LevelStatic1"	0.522430740358271
"Sample0119"	"Infant"	"FAM038"	"W2"	"Covar1.3"	0.80331953396476	"BinaryDynamic2"	"LevelDynamic2"	0.903358263560261	"BinaryStatic1"	"LevelStatic1"	0.522430740358271
"Sample0120"	"Infant"	"FAM039"	"M12"	"Covar1.1"	-0.805233401036485	"BinaryDynamic2"	"LevelDynamic1"	-1.21132346994257	"BinaryStatic1"	"LevelStatic3"	-1.01805857519486
"Sample0121"	"Infant"	"FAM040"	"M6"	"Covar1.2"	1.88231795167142	"BinaryDynamic2"	"LevelDynamic1"	-2.02812220236931	"BinaryStatic1"	"LevelStatic1"	1.8831971038929
"Sample0122"	"Infant"	"FAM040"	"M1"	"Covar1.3"	2.00618506800471	"BinaryDynamic1"	"LevelDynamic1"	-0.510569896977822	"BinaryStatic1"	"LevelStatic1"	1.8831971038929
"Sample0123"	"Infant"	"FAM040"	"M12"	"Covar1.3"	-0.840289002749175	"BinaryDynamic2"	"LevelDynamic3"	-0.146300836352245	"BinaryStatic1"	"LevelStatic1"	1.8831971038929
"Sample0124"	"Infant"	"FAM041"	"M12"	"Covar1.2"	0.205923906488025	"BinaryDynamic1"	"LevelDynamic1"	-0.490038436172395	"BinaryStatic1"	"LevelStatic2"	-0.279949169556792
"Sample0125"	"Infant"	"FAM041"	"M3"	"Covar1.2"	0.250055822035417	"BinaryDynamic2"	"LevelDynamic3"	-0.338066509513417	"BinaryStatic1"	"LevelStatic2"	-0.279949169556792
"Sample0126"	"Infant"	"FAM042"	"W2"	"Covar1.3"	-2.11327553894454	"BinaryDynamic2"	"LevelDynamic1"	0.574600712836951	"BinaryStatic2"	"LevelStatic1"	0.48911769166316
"Sample0127"	"Infant"	"FAM042"	"M6"	"Covar1.1"	0.872785384766235	"BinaryDynamic1"	"LevelDynamic1"	-0.945121469875488	"BinaryStatic2"	"LevelStatic1"	0.48911769166316
"Sample0128"	"Infant"	"FAM042"	"M12"	"Covar1.1"	-0.842841994785486	"BinaryDynamic2"	"LevelDynamic3"	2.13694007570208	"BinaryStatic2"	"LevelStatic1"	0.48911769166316
"Sample0129"	"Infant"	"FAM043"	"M1"	"Covar1.3"	0.817860080856419	"BinaryDynamic2"	"LevelDynamic2"	-0.634754764137475	"BinaryStatic2"	"LevelStatic2"	0.486254359733808
"Sample0130"	"Infant"	"FAM044"	"W2"	"Covar1.1"	0.493691096968959	"BinaryDynamic2"	"LevelDynamic3"	-1.03241627170309	"BinaryStatic1"	"LevelStatic2"	1.83424223240379
"Sample0131"	"Infant"	"FAM044"	"M12"	"Covar1.3"	0.415606711559037	"BinaryDynamic1"	"LevelDynamic3"	-0.972032154712046	"BinaryStatic1"	"LevelStatic2"	1.83424223240379
